Year;Ageband;PY Male;% Male;PY Female;% Female;Total
1995;11-20;0;0;40.97;0.57;40.97
1995;21-30;0;0;129.91;1.81;129.91
1995;31-40;0;0;107.16;1.49;107.16
1995;41-50;0;0;27.05;0.38;27.05
1995;Total;0;0;305.09;4.24;305.09
1996;11-20;0;0;41.08;0.57;41.08
1996;21-30;0;0;109.83;1.53;109.83
1996;31-40;0;0;121.24;1.69;121.24
1996;41-50;0;0;36.83;0.51;36.83
1996;Total;0;0;308.98;4.3;308.98
1997;11-20;0;0;38.57;0.54;38.57
1997;21-30;0;0;95.49;1.33;95.49
1997;31-40;0;0;129.35;1.8;129.35
1997;41-50;0;0;46.61;0.65;46.61
1997;Total;0;0;310.02;4.31;310.02
1998;11-20;0;0;34.47;0.48;34.47
1998;21-30;0;0;86.43;1.2;86.43
1998;31-40;0;0;127.72;1.78;127.72
1998;41-50;0;0;64.93;0.9;64.93
1998;Total;0;0;313.55;4.36;313.55
1999;11-20;0;0;27.83;0.39;27.83
1999;21-30;0;0;77.19;1.07;77.19
1999;31-40;0;0;136.9;1.9;136.9
1999;41-50;0;0;75.88;1.05;75.88
1999;Total;0;0;317.8;4.42;317.8
2000;11-20;0;0;19.86;0.28;19.86
2000;21-30;0;0;68.89;0.96;68.89
2000;31-40;0;0;149.34;2.08;149.34
2000;41-50;0;0;79.56;1.11;79.56
2000;Total;0;0;317.65;4.42;317.65
2001;11-20;0;0;14.51;0.2;14.51
2001;21-30;0;0;62;0.86;62
2001;31-40;0;0;147.92;2.06;147.92
2001;41-50;0;0;89.22;1.24;89.22
2001;51-60;0;0;3.91;0.05;3.91
2001;Total;0;0;317.56;4.41;317.56
2002;11-20;0;0;8.3;0.12;8.3
2002;21-30;0;0;57.21;0.8;57.21
2002;31-40;0;0;148.85;2.07;148.85
2002;41-50;0;0;91.74;1.28;91.74
2002;51-60;0;0;11.52;0.16;11.52
2002;Total;0;0;317.62;4.42;317.62
2003;11-20;0;0;2.72;0.04;2.72
2003;21-30;0;0;44.91;0.62;44.91
2003;31-40;0;0;156.28;2.17;156.28
2003;41-50;0;0;98.95;1.38;98.95
2003;51-60;0;0;14.99;0.21;14.99
2003;Total;0;0;317.85;4.42;317.85
2004;21-30;0;0;41.08;0.57;41.08
2004;31-40;0;0;152.49;2.12;152.49
2004;41-50;0;0;109.52;1.52;109.52
2004;51-60;0;0;16.68;0.23;16.68
2004;Total;0;0;319.77;4.45;319.77
2005;21-30;0;0;38.5;0.54;38.5
2005;31-40;0;0;142.92;1.99;142.92
2005;41-50;0;0;104.35;1.45;104.35
2005;51-60;0;0;25.39;0.35;25.39
2005;Total;0;0;311.16;4.33;311.16
2006;21-30;0;0;36.12;0.5;36.12
2006;31-40;0;0;124.35;1.73;124.35
2006;41-50;0;0;110.76;1.54;110.76
2006;51-60;0;0;30.34;0.42;30.34
2006;Total;0;0;301.57;4.19;301.57
2007;21-30;0;0;32.21;0.45;32.21
2007;31-40;0;0;108.1;1.5;108.1
2007;41-50;0;0;116.5;1.62;116.5
2007;51-60;0;0;31.59;0.44;31.59
2007;Total;0;0;288.4;4.01;288.4
2008;21-30;0;0;33.55;0.47;33.55
2008;31-40;0;0;106.29;1.48;106.29
2008;41-50;0;0;134.88;1.88;134.88
2008;51-60;0;0;49;0.68;49
2008;Total;0;0;323.72;4.5;323.72
2009;21-30;0;0;26.28;0.37;26.28
2009;31-40;0;0;87;1.21;87
2009;41-50;0;0;151.32;2.1;151.32
2009;51-60;0;0;56.65;0.79;56.65
2009;Total;0;0;321.25;4.47;321.25
2010;21-30;0;0;18.6;0.26;18.6
2010;31-40;0;0;69.52;0.97;69.52
2010;41-50;0;0;160.52;2.23;160.52
2010;51-60;0;0;46.77;0.65;46.77
2010;Total;0;0;295.41;4.11;295.41
2011;21-30;0;0;13.93;0.19;13.93
2011;31-40;0;0;62.29;0.87;62.29
2011;41-50;0;0;162;2.25;162
2011;51-60;0;0;55.66;0.77;55.66
2011;Total;0;0;293.88;4.09;293.88
2012;21-30;0;0;9.46;0.13;9.46
2012;31-40;0;0;57.46;0.8;57.46
2012;41-50;0;0;163.46;2.27;163.46
2012;51-60;0;0;53.87;0.75;53.87
2012;Total;0;0;284.25;3.95;284.25
2013;21-30;0;0;3.33;0.05;3.33
2013;31-40;0;0;48.07;0.67;48.07
2013;41-50;0;0;163.83;2.28;163.83
2013;51-60;0;0;47.79;0.66;47.79
2013;Total;0;0;263.02;3.66;263.02
2014;31-40;0;0;42.98;0.6;42.98
2014;41-50;0;0;158.38;2.2;158.38
2014;51-60;0;0;50.72;0.71;50.72
2014;Total;0;0;252.08;3.5;252.08
2015;31-40;0;0;39.01;0.54;39.01
2015;41-50;0;0;146.76;2.04;146.76
2015;51-60;0;0;58.76;0.82;58.76
2015;Total;0;0;244.53;3.4;244.53
2016;31-40;0;0;35.5;0.49;35.5
2016;41-50;0;0;113.75;1.58;113.75
2016;51-60;0;0;58.52;0.81;58.52
2016;Total;0;0;207.77;2.89;207.77
2017;31-40;0;0;32.76;0.46;32.76
2017;41-50;0;0;96.92;1.35;96.92
2017;51-60;0;0;58.07;0.81;58.07
2017;Total;0;0;187.75;2.61;187.75
2018;31-40;0;0;26.64;0.37;26.64
2018;41-50;0;0;80.11;1.11;80.11
2018;51-60;0;0;67.02;0.93;67.02
2018;Total;0;0;173.77;2.42;173.77
2019;31-40;0;0;20.73;0.29;20.73
2019;41-50;0;0;64.13;0.89;64.13
2019;51-60;0;0;72.04;1;72.04
2019;Total;0;0;156.9;2.18;156.9
2020;31-40;0;0;15.28;0.21;15.28
2020;41-50;0;0;55.63;0.77;55.63
2020;51-60;0;0;70.52;0.98;70.52
2020;Total;0;0;141.43;1.97;141.43
