month;1995;1997;1998;1999;2002;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
1;0;0;0;0;1;0;0;2;2;0;1;4;3;2;4;0;1;9;2;2;2;3
2;0;0;0;0;0;0;4;2;0;2;1;4;3;3;2;0;2;11;1;2;2;1
3;0;0;0;0;0;0;0;1;1;0;0;3;0;4;2;3;1;6;4;1;1;0
4;0;0;0;0;0;0;5;1;0;0;2;3;1;3;2;0;1;5;0;1;2;0
5;1;2;0;0;0;0;0;0;2;0;0;4;0;3;6;2;0;3;2;1;1;4
6;0;1;0;0;0;0;0;2;1;0;2;0;0;1;1;1;0;1;1;3;2;1
7;1;2;0;0;0;0;0;1;1;1;1;3;0;2;5;1;2;0;2;2;1;1
8;1;0;0;0;0;0;0;2;0;0;2;3;2;2;1;1;1;2;2;1;2;0
9;0;1;0;0;0;0;0;1;1;0;1;3;2;2;1;0;4;2;2;0;3;1
10;0;0;0;0;1;0;0;1;1;1;5;0;0;7;4;1;1;0;3;2;0;2
11;0;0;1;1;0;1;0;1;1;1;6;5;1;1;6;3;1;0;0;2;1;1
12;0;0;0;2;0;1;0;2;0;2;7;1;2;0;1;0;2;4;1;2;4;139
